learning rate, gamma, tau
1e-05,0.9,0.0001,0.95
1e-05,0.9,0.002575,2.85
1e-05,0.9,0.005050000000000001,2.38
1e-05,0.9,0.007525000000000001,2.84
1e-05,0.9,0.01,2.6
1e-05,0.9225,0.0001,0.82
1e-05,0.9225,0.002575,2.88
1e-05,0.9225,0.005050000000000001,2.78
1e-05,0.9225,0.007525000000000001,2.86
1e-05,0.9225,0.01,2.88
1e-05,0.9450000000000001,0.0001,0.78
1e-05,0.9450000000000001,0.002575,3.26
1e-05,0.9450000000000001,0.005050000000000001,2.86
1e-05,0.9450000000000001,0.007525000000000001,2.97
1e-05,0.9450000000000001,0.01,2.9
1e-05,0.9675,0.0001,0.93
1e-05,0.9675,0.002575,3.32
1e-05,0.9675,0.005050000000000001,3.4
1e-05,0.9675,0.007525000000000001,2.5
1e-05,0.9675,0.01,2.99
1e-05,0.99,0.0001,0.89
1e-05,0.99,0.002575,4.05
1e-05,0.99,0.005050000000000001,3.41
1e-05,0.99,0.007525000000000001,3.25
1e-05,0.99,0.01,0.93
3.2500000000000004e-05,0.9,0.0001,1.32
3.2500000000000004e-05,0.9,0.002575,3.98
3.2500000000000004e-05,0.9,0.005050000000000001,3.58
3.2500000000000004e-05,0.9,0.007525000000000001,3.7
3.2500000000000004e-05,0.9,0.01,3.89
3.2500000000000004e-05,0.9225,0.0001,1.5
3.2500000000000004e-05,0.9225,0.002575,3.66
3.2500000000000004e-05,0.9225,0.005050000000000001,3.9
3.2500000000000004e-05,0.9225,0.007525000000000001,3.84
3.2500000000000004e-05,0.9225,0.01,3.66
3.2500000000000004e-05,0.9450000000000001,0.0001,0.71
3.2500000000000004e-05,0.9450000000000001,0.002575,4.21
3.2500000000000004e-05,0.9450000000000001,0.005050000000000001,3.65
3.2500000000000004e-05,0.9450000000000001,0.007525000000000001,3.66
3.2500000000000004e-05,0.9450000000000001,0.01,3.61
3.2500000000000004e-05,0.9675,0.0001,1.13
3.2500000000000004e-05,0.9675,0.002575,3.6
3.2500000000000004e-05,0.9675,0.005050000000000001,3.98
3.2500000000000004e-05,0.9675,0.007525000000000001,3.66
3.2500000000000004e-05,0.9675,0.01,3.96
3.2500000000000004e-05,0.99,0.0001,0.77
3.2500000000000004e-05,0.99,0.002575,4.24
3.2500000000000004e-05,0.99,0.005050000000000001,4.3
3.2500000000000004e-05,0.99,0.007525000000000001,4.11
3.2500000000000004e-05,0.99,0.01,4.19
5.5e-05,0.9,0.0001,0.71
5.5e-05,0.9,0.002575,4.03
5.5e-05,0.9,0.005050000000000001,4.48
5.5e-05,0.9,0.007525000000000001,3.92
5.5e-05,0.9,0.01,4.06
5.5e-05,0.9225,0.0001,1.1
5.5e-05,0.9225,0.002575,4.27
5.5e-05,0.9225,0.005050000000000001,4.29
5.5e-05,0.9225,0.007525000000000001,4.2
5.5e-05,0.9225,0.01,4.47
5.5e-05,0.9450000000000001,0.0001,0.98
5.5e-05,0.9450000000000001,0.002575,4.13
5.5e-05,0.9450000000000001,0.005050000000000001,4.34
5.5e-05,0.9450000000000001,0.007525000000000001,4.13
5.5e-05,0.9450000000000001,0.01,4.13
5.5e-05,0.9675,0.0001,1.49
5.5e-05,0.9675,0.002575,4.15
5.5e-05,0.9675,0.005050000000000001,4.64
5.5e-05,0.9675,0.007525000000000001,3.96
